# surface_pressure: 79932.0625
# surface_elevation: 2012.2230341045827
# units: Pa, Pa, m, K, kg/kg, ppm, ppb
# comment: all profile quantities are at mid-layer, pressure-thickness reveals the thickness of each layer
pressure,pressure_thickness,altitude,temperature,specific_humidity,co2,ch4
8543.9,1385.3401,17536.1,212.62755,2.7806507e-06,415.6044597038999,1805.068628809961
10051.438,1629.73,16520.783,214.2902,3.0156377e-06,416.2307767762319,1822.300534611378
11825.001,1917.4016,15497.289,216.0577,3.498866e-06,416.4833313552663,1826.387166199337
13911.504,2255.6,14467.687,216.85931,5.4833777e-06,417.01167259210104,1840.9942937314681
16366.158,2653.7014,13433.03,218.18431,9.801231e-06,417.89427115064524,1864.9886342303403
19184.268,2982.525,12416.376,218.30684,2.132527e-05,419.08641513954433,1895.782137330848
22300.465,3249.8696,11446.881,220.79718,4.1137188e-05,420.0593250937313,1926.593169258085
25727.488,3604.1707,10511.483,225.79037,7.8804806e-05,420.4418602899683,1942.3462649537698
29499.904,3940.6667,9592.871,232.42212,0.00015844037,420.60905117843373,1948.6505167118412
32917.57,2894.657,8831.119,238.28937,0.0002708968,420.673751850026,1951.1012897494413
35797.137,2864.4807,8239.976,242.77345,0.0003930702,420.7053899234679,1951.870599544743
38638.887,2819.0144,7691.93,246.91362,0.00053617335,420.7248649672019,1952.378139141946
41445.15,2793.513,7181.011,250.62646,0.0007148224,420.73002884906066,1952.3757156371807
44225.465,2767.1047,6701.132,254.03046,0.0009411039,420.72612947473914,1951.9327498925627
46987.227,2756.423,6247.6865,257.15686,0.0011945423,420.6929810202888,1952.1615120718614
49730.22,2729.5632,5817.914,260.07053,0.0015019283,420.64655442825614,1953.1174276754243
52459.754,2729.523,5408.7383,262.82693,0.0018712009,420.5833593948262,1955.2225001801407
55180.63,2712.2017,5017.433,265.47354,0.0023144637,420.4993329713708,1958.4895448873353
57438.164,1802.8956,4703.3257,267.57883,0.0027458025,420.43660214403644,1961.5046155276932
59240.645,1802.1058,4460.3105,269.2885,0.0031465963,420.3966533101198,1964.1917266247833
61042.38,1801.3245,4223.1333,270.9875,0.0035438344,420.3730373302716,1966.6982634495
62839.168,1792.3019,3991.9753,272.68198,0.003913453,420.3760995382995,1969.2126123286262
64631.53,1792.3539,3766.4646,274.35468,0.00422323,420.3902057876499,1971.2476874289864
66244.625,1433.866,3567.3896,275.84595,0.004470826,420.39404770885426,1972.7525684844143
67498.23,1073.3853,3415.2773,277.01047,0.0046464857,420.39057001669863,1973.852847628792
68571.15,1072.3861,3286.941,278.00858,0.004787685,420.39382172300026,1974.7705474419865
69643.02,1071.4159,3160.2463,279.01144,0.004917213,420.4113085978424,1975.6884453309272
70714.445,1071.4109,3035.0742,280.0275,0.005038082,420.4435120401386,1976.6359858796638
71785.87,1071.4231,2911.333,281.0533,0.005151593,420.4988476919458,1977.571938749213
72856.7,1070.3052,2789.0413,282.09128,0.0052552056,420.59214384708974,1978.6131102206384
73926.37,1068.9779,2668.2063,283.14,0.0053512743,420.73805369134925,1980.0000050621138
74995.336,1068.9623,2548.7307,284.2014,0.0054409974,420.96179251395233,1981.7895881415495
76064.31,1068.9424,2430.5095,285.2791,0.005526663,421.2835083038683,1984.1286054734678
77132.63,1067.6963,2313.5417,286.358,0.0056125666,421.74277989909535,1987.2288298100389
78200.28,1067.619,2197.8293,287.4306,0.005711225,422.34810276163955,1991.2425269181638
79333.055,1197.9844,2076.2424,288.5697,0.005867704,423.1464073570722,1999.9616351503448
